ID,Group,Time,AGB,BGB_0_30,SOC,Richness.B,Richness.F
sample220,LGE,2023,332.72,1221.89003,24.3,2447,872
sample221,LGE,2023,273.64,1733.177347,27.216,2597,809
sample222,LGE,2023,271.2,2057.281511,37.26,2545,735
sample223,LGE,2023,345.68,2856.276268,36.612,2503,813
sample224,LGE,2023,301.32,2033.883617,33.372,2536,910
sample225,LGE,2023,314.76,1488.799341,42.336,2496,888
sample226,NDG,2023,153.4,5156.099027,31.752,2019,656
sample227,NDG,2023,218.76,5570.257505,69.336,1872,607
sample228,NDG,2023,173.6,6280.82352,71.28,2037,608
sample229,NDG,2023,189.24,6838.255308,60.264,1846,494
sample230,NDG,2023,144.4,8848.722091,60.264,2072,587
sample231,SGE,2023,310.76,1693.314268,58.32,2357,763
sample232,SGE,2023,254.64,3507.084362,35.964,2596,811
sample233,SGE,2023,242.56,1714.112397,35.64,2651,833
sample234,SGE,2023,198.64,1792.971966,43.092,2531,788
sample235,SGE,2023,222.52,2835.47814,33.696,2280,472
sample236,SGE,2023,304.44,2033.017028,33.048,2463,727
sample237,SGE,2023,280.4,1859.699294,25.92,2380,697
sample238,SGE,2023,282,2227.132891,25.272,2487,756
sample239,SGE,2023,250.6,1740.110057,21.06,2503,752
sample240,SGE,2023,346.8,1487.932753,24.948,2543,832
sample241,SGE,2023,154.08,2370.986611,27.864,2515,628
sample242,SGE,2023,255,2478.443607,32.4,2566,910
sample243,SGE,2023,313,2437.713939,41.472,2483,761
sample244,SGE,2023,231.68,1647.385069,25.92,2514,697
sample245,SGE,2023,310.16,2428.181464,29.484,2503,773
sample246,TGG,2023,379.04,1974.955587,42.12,2541,803
sample247,TGG,2023,347.72,1753.975476,37.26,2401,715
sample248,TGG,2023,285.2,1874.431301,39.852,2485,739
sample249,TGG,2023,334.56,2205.468175,34.344,2342,751
sample250,TGG,2023,358.84,1763.507951,33.372,2554,826
sample251,TGG,2023,389.68,1942.891806,26.892,2272,753
sample252,TGG,2023,344.2,1322.414316,26.244,2254,814
sample253,TGG,2023,234.84,1648.251657,29.16,2303,756
sample254,TGG,2023,329.24,1660.383899,28.512,2374,909
sample255,TGG,2023,311.68,1373.543048,22.68,2171,798
sample256,TGG,2023,303.28,2528.70575,28.188,2217,778
sample257,TGG,2023,315.52,1828.502101,38.556,2109,883
sample258,TGG,2023,248.8,2237.531955,28.188,2493,902
sample259,TGG,2023,258.12,2839.811084,36.288,2522,849
sample260,TGG,2023,432.64,2610.165085,42.768,2341,884
