ID,Time,Group,Amino,BNC,FNC,MAOC,POC,MAOC/SOC
2021W142,2021,SGE,3.500429991,0.257590075,3.560543679,14.49815917,1.776708833,55.93425606
2021W148,2021,SGE,3.730462815,0.396951478,3.240598893,13.99870588,2.835629819,66.67574436
2021W151,2021,SGE,4.884927428,0.270398395,3.740608729,16.58042907,1.630828698,53.30642062
2021W157,2021,SGE,6.311183304,0.296634904,4.86172526,18.49677509,1.60371147,60.73277873
2021W163,2021,SGE,8.172042551,0.173232613,5.781601545,21.62092734,0.801226564,59.05420993
2022W1,2022,TGG,8.378445898,0.801248259,9.247751498,17.15294118,4.67120041,71.54213038
2022W7,2022,TGG,8.932675788,0.881305914,8.463248822,22.04657439,3.997473253,72.38827945
2022W13,2022,TGG,9.062382797,1.442488527,7.598378415,17.55878201,8.215196966,62.29169154
2022W16,2022,LGE,4.678178533,0.494414992,2.221829292,16.81361938,2.940562536,55.79987847
2022W22,2022,LGE,4.197439002,0.946329282,2.52291706,19.20531488,4.927434348,53.88696655
2022W28,2022,LGE,3.069950086,0.573607346,2.566264178,14.53552941,3.946243234,50.98039215
2022W31,2022,TGG,5.12495062,0.243636088,5.920781859,16.58005536,1.469452801,77.5348642
2022W37,2022,TGG,5.12420291,0.650339022,6.362027222,14.57439446,4.46220269,73.98470222
2022W43,2022,TGG,5.73670879,1.508742745,6.615439628,16.31042907,9.25017201,81.19488784
2022W46,2022,LGE,3.656532018,0.665175217,3.738847393,16.67534948,3.988973172,68.62283737
2022W52,2022,LGE,5.979292994,0.845937588,5.644933461,17.26804152,4.898862371,74.02281173
2022W58,2022,LGE,3.122206338,0.423569267,3.080968718,16.59051903,2.553080262,68.27374086
2022W61,2022,TGG,11.58408427,0.295732289,7.653307063,14.72013841,2.009031982,39.50654431
2022W67,2022,TGG,10.5262212,0.333988645,7.398128608,15.75734948,2.119573763,44.61816027
2022W73,2022,TGG,9.531344013,0.899423786,5.759870844,12.71933564,7.071311047,31.91642989
2022W76,2022,LGE,7.338952605,0.241049678,6.518333589,13.65508651,1.765273902,62.31592499
2022W82,2022,LGE,4.956252294,0.222906872,3.719009717,10.45283045,2.132502514,62.31592499
2022W85,2022,LGE,5.401309981,0.239559085,5.441925215,17.36370934,1.379653854,62.31592499
2022W91,2022,EDG,7.729663055,0.201654639,3.239890171,15.58376471,1.294004646,40.99264707
2022W97,2022,EDG,6.590467149,0.586099252,3.185215217,15.14594118,3.869678646,28.97524713
2022W100,2022,EDG,4.127442347,0.221951179,3.294565125,20.05835294,1.106527437,50.4688832
2022W106,2022,NDG,10.53567888,0.199927831,4.444662855,18.79708235,1.063610973,30.85940759
2022W112,2022,NDG,9.068700663,0.586099252,3.185215217,20.77411765,2.821295525,28.881823
2022W118,2022,NDG,11.08844084,0.189746208,5.41669047,17.59891765,1.07816976,32.72147414
2022W121,2022,SGE,4.333499174,0.148248006,3.627092083,11.91522995,1.244189214,36.77540108
2022W127,2022,SGE,4.499892712,0.145575867,2.809566766,16.98141176,0.857265985,39.70588234
2022W133,2022,SGE,7.252393938,0.198286506,5.488127866,15.40905882,1.286817761,42.08745444
2022W136,2022,SGE,7.159442533,1.816866278,6.196147407,17.93530588,10.13011035,69.19485293
2022W142,2022,SGE,5.728286745,1.74275065,5.588933935,21.84555499,7.977598423,64.17156862
2022W148,2022,SGE,6.215009737,0.248778744,5.406445175,18.39748235,1.35224342,59.1482843
2022W151,2022,SGE,5.048243414,0.651840036,3.324664036,17.30952249,3.765788667,47.70040369
2022W157,2022,SGE,4.788290321,0.797637613,3.841878395,15.33375779,5.201840432,53.17574487
2022W163,2022,SGE,9.432673647,0.405420017,6.02943459,18.86524567,2.149031207,48.92946797
2023W1,2023,TGG,4.024720953,0.629669779,3.192351765,20.50056747,3.071474874,62.89598051
2023W7,2023,TGG,4.08933348,0.499244269,2.61779535,20.78532872,2.401907015,52.15630011
2023W13,2023,TGG,3.187299267,0.535068953,2.403972327,20.07529412,2.665310653,60.15610128
2023W16,2023,LGE,2.669621704,0.917981915,1.026024296,24.88783391,3.688476542,57.32410611
2023W22,2023,LGE,3.324682845,0.643041099,2.258133458,23.82427682,2.699100183,67.46029228
2023W28,2023,LGE,3.044678325,1.817418439,1.010995429,22.248,8.168907042,54.06824147
2023W31,2023,TGG,2.178382417,0.253450355,2.105600106,18.83774118,1.345439203,70.04961022
2023W37,2023,TGG,1.350430645,0.433709024,1.138879923,13.92056471,3.115599356,47.73856211
2023W43,2023,TGG,2.241245331,0.25894299,2.573135569,14.98118824,1.728454286,66.05462187
2023W46,2023,LGE,3.775257019,1.152617291,3.019329066,16.59238754,6.946663269,57.54053107
2023W52,2023,LGE,1.838927854,0.414731425,1.854298175,17.33904498,2.391893125,71.35409457
2023W58,2023,LGE,1.991215319,0.151431763,1.907595716,17.26804152,0.876948103,63.44812434
2023W61,2023,TGG,2.438996185,1.733410465,1.20217524,16.57818685,10.45597133,58.81292341
2023W67,2023,TGG,2.659012363,1.296638359,1.732610146,14.88438062,8.711402857,52.80396133
2023W73,2023,TGG,4.19438501,1.802304738,2.0844462,24.53580623,7.345610415,57.36954319
2023W76,2023,LGE,6.266213332,0.728625339,4.061058911,18.3136609,3.978589221,49.15099544
2023W82,2023,LGE,4.017302813,0.445407317,2.891743606,18.41530796,2.418679709,55.18191286
2023W88,2023,LGE,5.301774911,0.260903176,4.490009514,15.01386851,1.737747844,47.28479626
2023W94,2023,EDG,5.929329435,0.304434537,3.936382648,24.08315294,1.264097513,39.47557744
2023W100,2023,EDG,8.269715978,0.255355163,3.57171254,16.10470588,1.58559346,43.9875065
