ID,Group,Time,complexity.b,complexity.f,AVD.b,AVD.f,MDS1.b,MDS1.f,Richness.b,Richness.f
ND2_3_23,LGE,2023,0.394226209,0.245681994,0.591458148,0.305307807,0.070694429,0.072065262,2181,558
ND2_4_19,LGE,2019,0.277177441,0.355489243,0.763998893,0.623791911,0.299240626,0.230172276,2415,1870
ND2_4_20,LGE,2020,0.436872954,0.251810397,0.504673187,0.314086577,0.024617251,0.12200247,2166,571
ND2_4_21,LGE,2021,0.438954598,0.259076325,0.551629155,0.381933424,-0.042180621,0.115349157,2336,621
ND2_4_22,LGE,2022,0.401273684,0.25830129,0.522704059,0.310995346,0.017029752,0.06293194,2575,621
ND2_4_23,LGE,2023,0.412469769,0.257543091,0.582135229,0.276393609,0.043535267,0.065220802,2476,696
ND2_5_19,LGE,2019,0.266863936,0.333968947,0.809066139,0.532089505,0.337789269,0.253211384,2225,1011
ND2_5_20,LGE,2020,0.395131714,0.227298145,0.547574279,0.358750342,0.043418903,0.104789762,2273,519
ND2_5_21,LGE,2021,0.427252913,0.196976655,0.549756711,0.428564704,-0.009139396,0.02006357,2369,669
ND2_5_22,LGE,2022,0.39413432,0.223929266,0.612450414,0.423422288,0.052605962,-0.04636689,2335,367
ND2_5_23,LGE,2023,0.429424157,0.295344879,0.560858133,0.286553068,0.027891423,0.072116182,2477,744
ND3_1_19,LGE,2019,0.278585255,0.354464061,0.760237703,0.530084902,0.304740985,0.244197559,2058,1290
ND3_1_20,LGE,2020,0.425899979,0.303742494,0.610160297,0.393924991,-0.127576266,-0.149510641,2287,756
ND3_1_21,LGE,2021,0.426757418,0.19828988,0.577793742,0.38320903,-0.028446674,-0.159414208,2150,679
ND3_1_22,LGE,2022,0.425686925,0.301608839,0.572823396,0.394358706,0.016866158,-0.178803992,2192,503
ND3_1_23,LGE,2023,0.421745177,0.293212035,0.591851549,0.349898487,-0.006598969,-0.154528415,1924,646
ND3_2_19,LGE,2019,0.339266579,0.36322175,0.723581484,0.488255932,0.286715952,0.230044232,2184,1569
ND3_2_20,LGE,2020,0.415967493,0.268691283,0.602913482,0.447503465,0.030482653,-0.200395359,2363,399
ND3_2_21,LGE,2021,0.424212945,0.127466253,0.576159108,0.481077863,-0.005427579,-0.12037055,2338,577
ND3_2_22,LGE,2022,0.423640365,0.314558227,0.57784684,0.402015133,-0.024627742,-0.121873882,2180,594
ND3_2_23,LGE,2023,0.415123848,0.313546547,0.58409889,0.419704109,-0.023562086,-0.112727279,2168,746
ND3_3_19,LGE,2019,0.308461915,0.338840602,0.780278288,0.477266184,0.317676743,0.226860038,2527,1230
ND3_3_20,LGE,2020,0.414890913,0.257543021,0.52049839,0.394304198,-0.044506011,-0.038121374,2666,633
ND3_3_21,LGE,2021,0.418033965,0.30956209,0.543784968,0.333665179,-0.020391561,-0.080740086,2532,686
ND3_3_22,LGE,2022,0.457775802,0.315888638,0.555588511,0.396572317,-0.049185014,-0.126608606,2414,605
ND3_3_23,LGE,2023,0.434788887,0.291367208,0.577462786,0.381282713,-0.066824331,-0.12661286,2547,909
ND3_4_19,LGE,2019,0.344924561,0.349734295,0.760621238,0.485279255,0.280660028,0.216242709,2353,1256
ND3_4_20,LGE,2020,0.437885317,0.31878066,0.652808347,0.358436689,-0.192964796,-0.222028272,2285,633
ND3_4_21,LGE,2021,0.42423643,0.319706346,0.531040813,0.399019743,-0.054091312,-0.082341115,2214,857
ND3_4_22,LGE,2022,0.398805842,0.35014535,0.526072822,0.453246581,0.009930325,-0.050696818,2402,471
ND3_4_23,LGE,2023,0.422639193,0.311627518,0.59392544,0.318368218,-0.025169006,-0.140778593,2506,812
ND3_5_19,LGE,2019,0.277506308,0.355594203,0.84242691,0.467762232,0.347284258,0.233663102,2447,1184
ND3_5_20,LGE,2020,0.416231513,0.314299317,0.574418188,0.485921881,-0.074386095,-0.162079791,2500,707
ND3_5_21,LGE,2021,0.426224852,0.183071681,0.553264721,0.347459616,-0.039384125,-0.144608595,2431,867
ND3_5_22,LGE,2022,0.4249294,0.279754726,0.602813467,0.369633337,0.01717049,-0.190007262,2603,414
ND3_5_23,LGE,2023,0.424442053,0.306366392,0.601033225,0.366314754,-0.014266448,-0.15430385,2475,634
TA5_1_19,NDG,2019,0.439393552,0.512894747,0.806431886,0.410143349,0.19112509,0.218564195,2342,2257
TA5_1_20,NDG,2020,0.383973309,0.171398561,0.743508176,0.373318175,-0.175022607,0.053779708,2177,526
TA5_1_21,NDG,2021,0.468005626,0.235665704,0.717672125,0.430454648,-0.280582407,-0.087925542,2336,814
TA5_1_22,NDG,2022,0.486435679,0.171930343,0.669167278,0.349589505,-0.143485598,-0.140108267,2273,658
TA5_1_23,NDG,2023,0.453585131,0.193170939,0.6976981,0.348472344,-0.051038482,-0.005587784,2146,656
TA5_2_19,NDG,2019,0.459066725,0.510583376,0.798566145,0.408789385,0.171092652,0.228218432,1805,2195
TA5_2_20,NDG,2020,0.487358521,0.224657115,0.59434932,0.326399875,-0.09808004,-0.089927859,2236,741
TA5_2_21,NDG,2021,0.509340492,0.19219165,0.600257745,0.32554408,-0.093223941,0.113704444,1759,789
TA5_2_22,NDG,2022,0.469757595,0.17772696,0.626742216,0.328199313,-0.035755825,0.021726545,1737,595
TA5_2_23,NDG,2023,0.446342422,0.169391746,0.684925177,0.357565192,-0.150891742,-0.153629965,2045,607
TA5_3_19,NDG,2019,0.47346518,0.561542872,0.719612527,0.403623819,0.199760132,0.230019604,1947,2153
TA5_3_20,NDG,2020,0.413587405,0.172316449,0.672543981,0.321672028,-0.120199561,0.088242643,2396,538
TA5_3_21,NDG,2021,0.464585552,0.161962639,0.806654771,0.397175697,-0.237217159,-0.067327134,1772,690
TA5_3_22,NDG,2022,0.484142807,0.238099891,0.624342301,0.38862726,-0.00897905,-0.021522949,1891,364
TA5_3_23,NDG,2023,0.497551285,0.219222209,0.664785665,0.351763116,0.013709476,-0.083018113,1866,608
TA5_4_19,NDG,2019,0.432801416,0.507789858,0.752961297,0.436185542,0.173130566,0.229312187,2097,2154
TA5_4_20,NDG,2020,0.416110378,0.170495324,0.707454039,0.349168156,-0.141344899,0.111412725,1982,546
TA5_4_21,NDG,2021,0.418826775,0.176674573,0.775970313,0.428766252,-0.247295973,-0.15557134,1868,733
TA5_4_22,NDG,2022,0.515417849,0.204837539,0.598616793,0.305495137,-0.122454736,-0.122400551,2265,747
TA5_4_23,NDG,2023,0.447707534,0.167980332,0.800791567,0.358258177,-0.073943316,-0.035867709,1951,494
